Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,GP,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,PPG,GPG,APG,SvPG,ShPG
Challenger,,Sinworth,Dodo Birds,The Birdcage,Lunar,N/A,55.15,32,0.5,16,16,7,5885,4940,945,21,16,28,64,0.333,183.91,0.66,0.47,0.88,1.97
Challenger,RSC000107,Superfast Moose,Dodo Birds,The Birdcage,Lunar,N/A,55.18,56,0.554,31,25,12,10636,8880,1756,37,24,58,108,0.336,189.91,0.64,0.41,1.02,1.91
Challenger,RSC001764,Treebandana,Dodo Birds,The Birdcage,Lunar,N/A,65.65,20,0.55,11,9,5,4015,3800,215,17,9,26,35,0.486,200.75,0.85,0.45,1.30,1.75
Challenger,RSC000221,Treefrog,Dodo Birds,The Birdcage,Lunar,N/A,60.91,56,0.554,31,25,8,10630,8730,1900,41,26,41,128,0.323,189.82,0.73,0.46,0.73,2.27
Challenger,,Luuugia,Dust Devils,The Storm,Solar,N/A,92.61,44,0.659,29,15,17,11031,9060,1971,43,28,43,121,0.355,250.68,0.98,0.61,0.98,2.75
Challenger,,Zacer,Dust Devils,The Storm,Solar,N/A,64.58,41,0.683,28,13,6,7396,6650,746,31,23,31,85,0.365,180.37,0.76,0.54,0.73,2.07
Challenger,RSC000387,adammast,Dust Devils,The Storm,Solar,N/A,80.32,46,0.63,29,17,7,9440,8980,460,45,28,38,118,0.373,205.22,0.96,0.59,0.83,2.57
Challenger,RSC003542,cdrch,Dust Devils,The Storm,Solar,N/A,52.33,45,0.533,24,21,6,7376,6360,1016,32,22,23,91,0.352,163.89,0.71,0.47,0.51,2.02
Challenger,RSC001459,Lt_Col_Thorin,FA,Free Agent,N/A,N/A,-12.07,5,0,0,5,0,375,470,-95,2,0,5,2,1.000,75.00,0.40,0.00,1.00,0.40
Challenger,,TheMuffinMan,FA,Free Agent,N/A,N/A,27.28,14,0.429,6,8,0,1946,1810,136,5,5,17,21,0.250,138.93,0.36,0.29,1.21,1.43
Challenger,RSC000868,mtiptonatc,FA,Free Agent,N/A,N/A,-10.7,3,0.333,1,2,0,190,260,-70,1,0,3,1,1.000,63.33,0.33,0.00,0.67,0.33
Challenger,,Fittz,Foxes,The Pack,Lunar,N/A,45.74,22,0.409,9,13,2,3751,3480,271,16,9,22,33,0.469,170.46,0.68,0.41,0.96,1.46
