Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,GP,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,PPG,GPG,APG,SvPG,ShPG
Challenger,,Juanma206,Apprentices,The Ninja Academy,Solar,N/A,37.75,14,0.286,4,10,1,2310,2090,220,7,5,19,19,0.389,165.00,0.50,0.29,1.36,1.29
Challenger,RSC003603,Keeganator_1354,Apprentices,The Ninja Academy,Solar,N/A,45.9,16,0.375,6,10,3,3030,2220,810,5,9,22,17,0.294,189.38,0.31,0.56,1.38,1.06
Challenger,RSC000823,MrMenstration,Apprentices,The Ninja Academy,Solar,N/A,52.31,37,0.27,10,27,5,6941,6500,441,30,15,40,75,0.387,187.57,0.78,0.41,1.08,2.03
Challenger,RSC001730,Tacomnivore,Apprentices,The Ninja Academy,Solar,N/A,39.41,39,0.333,13,26,2,6646,5360,1286,19,10,47,61,0.311,170.39,0.49,0.26,1.21,1.56
Challenger,RSC003571,Caboose,Barbarians,The Sovereign,Lunar,N/A,66.46,36,0.611,22,14,7,7311,6090,1221,25,21,34,84,0.301,203.06,0.69,0.56,0.92,2.31
Challenger,RSC000492,Yasopp,Barbarians,The Sovereign,Lunar,N/A,73.8,28,0.714,20,8,7,5960,5440,520,27,13,28,69,0.382,212.86,0.93,0.46,1.00,2.43
Challenger,RSC000778,intrude_N313,Barbarians,The Sovereign,Lunar,N/A,39.24,30,0.6,18,12,3,4435,3700,735,21,4,19,45,0.445,147.83,0.67,0.13,0.63,1.50
Challenger,RSC003662,jRampag3,Barbarians,The Sovereign,Lunar,N/A,65.78,42,0.667,28,14,12,8601,6830,1771,31,17,35,113,0.277,204.76,0.74,0.38,0.83,2.67
Challenger,RSC002866,Aust106,Boxers,The Great Hounds,Solar,N/A,69.4,8,0.625,5,3,2,1765,1240,525,5,5,6,19,0.263,220.63,0.63,0.63,0.75,2.38
Challenger,RSC001240,Depezpoopsie,Boxers,The Great Hounds,Solar,N/A,62.89,36,0.417,15,21,8,7955,7050,905,39,7,38,90,0.422,220.97,1.06,0.19,1.03,2.50
Challenger,,jeterskate(Zenith),Boxers,The Great Hounds,Solar,N/A,13.44,35,0.2,7,28,1,3835,2670,1165,9,6,21,42,0.214,109.57,0.26,0.14,0.60,1.20
Challenger,,rjivani,Boxers,The Great Hounds,Solar,N/A,13.82,23,0.478,11,12,0,2060,1670,390,5,3,17,17,0.235,89.57,0.17,0.13,0.74,0.74
Challenger,,Chitown,Demigods,The Acropolis,Solar,N/A,63.76,40,0.65,26,14,6,7695,6650,1045,36,18,27,80,0.450,192.38,0.90,0.45,0.68,2.00
Challenger,RSC000097,Dravaco,Demigods,The Acropolis,Solar,N/A,56.79,20,0.65,13,7,4,3605,2990,615,14,10,16,29,0.483,180.25,0.70,0.50,0.80,1.45
Challenger,RSC000293,Falco,Demigods,The Acropolis,Solar,N/A,67.7,46,0.717,33,13,9,9256,7470,1786,33,25,37,107,0.308,201.20,0.72,0.52,0.78,2.33
Challenger,,Komali^,Demigods,The Acropolis,Solar,N/A,93.66,40,0.725,29,11,14,10250,9450,800,50,25,42,110,0.455,256.25,1.25,0.63,1.05,2.75
Challenger,RSC003551,EOTP,Dodo Birds,The Birdcage,Lunar,N/A,55.28,52,0.654,34,18,9,9495,6980,2515,31,22,35,103,0.304,182.60,0.60,0.42,0.67,1.96
Challenger,RSC000418,Frost6,Dodo Birds,The Birdcage,Lunar,N/A,80.05,44,0.682,30,14,15,10115,8900,1215,46,22,40,120,0.386,229.89,1.05,0.50,0.91,2.71
Challenger,RSC001091,Stealthman777,Dodo Birds,The Birdcage,Lunar,N/A,64.3,50,0.66,33,17,8,9720,8290,1430,41,21,40,114,0.360,194.40,0.82,0.42,0.80,2.28
Challenger,RSC001085,0nlyBree,FA,Free Agent,N/A,N/A,43.32,35,0.314,11,24,7,6246,4700,1546,18,13,32,65,0.281,178.43,0.51,0.37,0.91,1.83
Challenger,,Beastmodejjl,FA,Free Agent,N/A,N/A,32.77,4,0.25,1,3,1,760,430,330,2,0,3,8,0.250,190.00,0.50,0.00,0.75,2.00
Challenger,RSC001495,Mootsmcboots,FA,Free Agent,N/A,N/A,28.24,23,0.261,6,17,3,3455,2420,1035,9,7,17,32,0.290,150.22,0.39,0.26,0.70,1.35
Challenger,RSC003660,Riqy,FA,Free Agent,N/A,N/A,28.39,8,0.5,4,4,1,1050,700,350,2,2,6,10,0.200,131.25,0.25,0.25,0.75,1.25
Challenger,RSC001653,Shire,FA,Free Agent,N/A,N/A,73.71,8,0.625,5,3,2,1680,1470,210,6,6,8,17,0.353,210.00,0.75,0.75,1.00,2.13
Challenger,,TheMuffinMan,FA,Free Agent,N/A,N/A,13.88,23,0.174,4,19,0,2681,1970,711,3,7,23,17,0.187,116.52,0.13,0.26,1.00,0.70
Challenger,,Wheelchair,FA,Free Agent,N/A,N/A,45.79,28,0.464,13,15,1,5091,3630,1461,13,10,27,48,0.271,181.79,0.46,0.36,0.93,1.71
Challenger,,kDence,FA,Free Agent,N/A,N/A,27.24,4,0.5,2,2,0,480,330,150,0,2,4,3,0.000,120.00,0.00,0.50,1.00,0.75
Challenger,,potatogamer,FA,Free Agent,N/A,N/A,32.29,4,0,0,4,0,645,500,145,2,1,3,10,0.200,161.25,0.50,0.25,0.75,2.50
Challenger,RSC007674,Batman,Fortunes,"F Words for 200, Alex",Solar,N/A,48.46,39,0.41,16,23,4,6755,5560,1195,24,21,29,66,0.354,173.21,0.59,0.51,0.72,1.67
Challenger,RSC000831,Greeneyedowl420,Fortunes,"F Words for 200, Alex",Solar,N/A,15.94,16,0.375,6,10,0,1720,1520,200,6,0,16,12,0.500,107.50,0.38,0.00,1.00,0.75
Challenger,RSC000251,PadmesDefense,Fortunes,"F Words for 200, Alex",Solar,N/A,47.15,35,0.514,18,17,3,5821,4610,1211,16,18,32,51,0.320,166.29,0.46,0.51,0.89,1.43
Challenger,RSC002850,The Static,Fortunes,"F Words for 200, Alex",Solar,N/A,77.08,35,0.514,18,17,13,8750,7620,1130,44,9,35,102,0.426,250.00,1.23,0.26,1.00,2.89
Challenger,,FuZZywUZZY,Foxes,The Pack,Lunar,N/A,60.78,49,0.531,26,23,5,9661,8380,1281,42,20,42,108,0.380,197.14,0.84,0.39,0.86,2.20
Challenger,RSC000746,Hower84,Foxes,The Pack,Lunar,N/A,45.19,45,0.556,25,20,2,6930,6500,430,29,14,45,65,0.446,154.00,0.64,0.31,0.98,1.44
Challenger,RSC003612,Noddan,Foxes,The Pack,Lunar,N/A,9.59,16,0.312,5,11,0,1180,1150,30,2,4,13,10,0.200,73.75,0.13,0.25,0.81,0.63
Challenger,RSC003606,ToastyGloves,Foxes,The Pack,Lunar,N/A,94.02,47,0.574,27,20,20,14510,10470,4040,50,26,52,157,0.312,308.72,1.04,0.53,1.11,3.34
Challenger,RSC004474,Solar,Hellions,πολύ κεφάλη,Lunar,N/A,64.49,40,0.675,27,13,6,7910,6320,1590,35,17,22,87,0.402,197.75,0.88,0.43,0.55,2.18
Challenger,,Stream,Hellions,πολύ κεφάλη,Lunar,N/A,7.15,13,0.462,6,7,0,735,880,-145,4,3,5,8,0.376,56.54,0.23,0.15,0.31,0.62
Challenger,RSC003578,Taze,Hellions,πολύ κεφάλη,Lunar,N/A,85.06,52,0.673,35,17,18,12861,10430,2431,47,43,48,118,0.390,247.31,0.89,0.81,0.92,2.27
Challenger,RSC001820,YourEvilTwin,Hellions,πολύ κεφάλη,Lunar,N/A,81.17,48,0.708,34,14,11,10775,9710,1065,50,29,40,126,0.389,224.48,1.02,0.60,0.83,2.63
Challenger,,Fruzenius,Indie,Studio City,Lunar,N/A,32.15,27,0.296,8,19,2,4041,3480,561,11,7,34,33,0.333,149.63,0.41,0.26,1.26,1.22
Challenger,,Nicknamer6,Indie,Studio City,Lunar,N/A,33.49,20,0.4,8,12,1,3505,2290,1215,9,1,21,29,0.310,175.25,0.45,0.05,1.05,1.45
Challenger,RSC003649,Thepresteej,Indie,Studio City,Lunar,N/A,53.4,4,0.25,1,3,1,830,620,210,3,1,3,12,0.250,207.50,0.75,0.25,0.75,3.00
Challenger,RSC003633,thegoatcarter,Indie,Studio City,Lunar,N/A,44.17,31,0.323,10,21,1,5635,4770,865,16,8,43,62,0.246,181.77,0.48,0.26,1.39,1.97
Challenger,,commandomoe,Neutrinos,Galaxy Squad,Lunar,N/A,57.13,34,0.529,18,16,9,6601,5510,1091,25,15,32,66,0.364,194.12,0.71,0.41,0.94,1.94
Challenger,RSC000668,jdog,Neutrinos,Galaxy Squad,Lunar,N/A,55.63,43,0.488,21,22,5,8480,6890,1590,37,12,33,94,0.398,197.21,0.86,0.26,0.77,2.16
Challenger,RSC001724,sweetnlow120,Neutrinos,Galaxy Squad,Lunar,N/A,26.33,35,0.371,13,22,5,4745,3530,1215,16,4,25,48,0.333,135.57,0.46,0.11,0.69,1.37
Challenger,,tyty0804,Neutrinos,Galaxy Squad,Lunar,N/A,49.05,43,0.442,19,24,5,8140,6420,1720,23,16,52,72,0.306,189.30,0.51,0.37,1.21,1.67
Challenger,RSC001095,Adamlol,Sneks,The Snake Pit,Solar,N/A,66.72,50,0.54,27,23,11,10440,9110,1330,43,21,50,126,0.341,208.80,0.86,0.42,1.00,2.52
Challenger,RSC003547,Dallque,Sneks,The Snake Pit,Solar,N/A,56.08,49,0.592,29,20,6,9220,7440,1780,35,18,42,94,0.372,188.16,0.71,0.37,0.84,1.92
Challenger,RSC001439,kydd amigo,Sneks,The Snake Pit,Solar,N/A,42.22,42,0.5,21,21,4,6195,5400,795,21,18,35,65,0.328,147.50,0.50,0.41,0.81,1.52
Challenger,RSC000505,sunsetbrew,Sneks,The Snake Pit,Solar,N/A,69.41,31,0.581,18,13,10,6945,5140,1805,24,20,20,74,0.315,224.03,0.74,0.61,0.61,2.36
Challenger,RSC003604,Ruze,Spastics,The Quad Dynasty,Solar,N/A,35.72,23,0.304,7,16,1,3630,2960,670,13,3,21,46,0.283,157.83,0.57,0.13,0.91,2.00
Challenger,,cthulu33,Spastics,The Quad Dynasty,Solar,N/A,11.24,27,0.333,9,18,0,2245,1620,625,2,7,16,27,0.074,83.15,0.07,0.26,0.56,1.00
Challenger,,russwalk97(Falcon),Spastics,The Quad Dynasty,Solar,N/A,32.16,31,0.194,6,25,3,4751,4030,721,15,8,31,58,0.246,153.23,0.45,0.23,1.00,1.84
Challenger,RSC003545,Grumpy_Mittens,Swabbies,Tortuga,Lunar,N/A,51.6,36,0.417,15,21,3,6595,5150,1445,21,17,29,75,0.280,183.19,0.58,0.47,0.78,2.08
Challenger,RSC000292,Ignite,Swabbies,Tortuga,Lunar,N/A,21.75,34,0.471,16,18,0,3500,2800,700,10,10,20,30,0.300,102.94,0.27,0.29,0.56,0.88
Challenger,RSC003684,Keube,Swabbies,Tortuga,Lunar,N/A,82.23,48,0.479,23,25,19,13085,11250,1835,58,16,66,135,0.426,272.60,1.19,0.33,1.38,2.79
